lon,lat,elv,elv
-78.55,-0.658,3.35829,3358.29
-78.55,-0.66,3.33929,3339.29
-78.55,-0.663,3.3424,3342.4
-78.55,-0.666,3.35844,3358.44
-78.55,-0.669,3.35461,3354.61
-78.55,-0.671,3.34426,3344.26
-78.55,-0.674,3.33051,3330.51
-78.55,-0.677,3.33962,3339.62
-78.55,-0.68,3.33583,3335.83
-78.55,-0.682,3.31618,3316.18
-78.55,-0.685,3.29685,3296.85
-78.55,-0.688,3.31377,3313.77
-78.55,-0.691,3.30882,3308.82
-78.55,-0.693,3.30523,3305.23
-78.55,-0.696,3.30225,3302.25
-78.55,-0.699,3.29973,3299.73
-78.55,-0.702,3.29509,3295.09
-78.55,-0.704,3.27807,3278.07
-78.55,-0.707,3.27018,3270.18
-78.55,-0.71,3.26647,3266.47
-78.55,-0.713,3.25852,3258.52
-78.55,-0.715,3.24992,3249.92
-78.55,-0.718,3.24544,3245.44
-78.55,-0.721,3.23805,3238.05
-78.55,-0.724,3.23376,3233.76
-78.55,-0.726,3.21034,3210.34
-78.55,-0.729,3.18422,3184.22
-78.55,-0.732,3.17404,3174.04
-78.55,-0.735,3.15439,3154.39
-78.55,-0.737,3.15128,3151.28
-78.55,-0.74,3.14206,3142.06
-78.55,-0.743,3.14854,3148.54
-78.55,-0.746,3.14843,3148.43
-78.55,-0.748,3.1481,3148.1
-78.55,-0.751,3.14224,3142.24
-78.55,-0.754,3.14078,3140.78
-78.55,-0.757,3.13186,3131.86
-78.55,-0.759,3.14533,3145.33
-78.55,-0.762,3.15672,3156.72
-78.55,-0.765,3.15756,3157.56
-78.55,-0.768,3.16946,3169.46
-78.55,-0.77,3.17536,3175.36
-78.55,-0.773,3.17568,3175.68
-78.55,-0.776,3.13137,3131.37
-78.55,-0.779,3.16805,3168.05
-78.55,-0.781,3.16374,3163.74
-78.55,-0.784,3.14929,3149.29
-78.55,-0.787,3.1797,3179.7
-78.55,-0.79,3.17364,3173.64
-78.55,-0.792,3.21669,3216.69
-78.55,-0.795,3.17578,3175.78
-78.55,-0.798,3.16947,3169.47
-78.55,-0.8,3.13886,3138.86
-78.55,-0.803,3.17986,3179.86
-78.55,-0.806,3.18389,3183.89
-78.55,-0.809,3.17827,3178.27
-78.55,-0.811,3.17128,3171.28
-78.55,-0.814,3.15919,3159.19
-78.55,-0.817,3.17729,3177.29
-78.55,-0.82,3.16965,3169.65
-78.55,-0.822,3.13196,3131.96
-78.55,-0.825,3.07708,3077.08
-78.55,-0.828,3.06291,3062.91
-78.55,-0.831,3.02141,3021.41
-78.55,-0.833,3.08905,3089.05
-78.55,-0.836,3.15575,3155.75
-78.547,-0.559,3.37629,3376.29
-78.547,-0.562,3.40587,3405.87
-78.547,-0.564,3.44743,3447.43
-78.547,-0.567,3.50184,3501.84
-78.547,-0.57,3.45272,3452.72
-78.547,-0.573,3.38236,3382.36
-78.547,-0.575,3.5255,3525.5
-78.547,-0.578,3.51441,3514.41
